timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663498754920,38190,Get books,200,OK,Stress_test 1-30,text,true,,903765,192,5,5,https://project-three-application-type.azurewebsites.net/api/Books,4812,0,0
1663498793109,208,Post Books,200,OK,Stress_test 1-30,text,true,,403,364,5,5,https://project-three-application-type.azurewebsites.net/api/Books,208,0,0
1663498793317,213,Delete Books,200,OK,Stress_test 1-30,text,true,,906,194,5,5,https://project-three-application-type.azurewebsites.net/api/Books/1,213,0,0
1663498792090,1461,Post Books,200,OK,Stress_test 1-25,text,true,,403,364,5,5,https://project-three-application-type.azurewebsites.net/api/Books,1461,0,1239
1663498793530,226,Get Books by ID,200,OK,Stress_test 1-30,text,true,,906,194,5,5,https://project-three-application-type.azurewebsites.net/api/Books/1,226,0,0
1663498793550,227,Delete Books,200,OK,Stress_test 1-25,text,true,,906,194,5,5,https://project-three-application-type.azurewebsites.net/api/Books/1,227,0,0
1663498743350,50447,Get books,200,OK,Stress_test 1-23,text,true,,909573,192,5,5,https://project-three-application-type.azurewebsites.net/api/Books,853,0,0
1663498793778,234,Get Books by ID,200,OK,Stress_test 1-25,text,true,,906,194,5,5,https://project-three-application-type.azurewebsites.net/api/Books/1,234,0,0
1663498793757,249,Put Books,200,OK,Stress_test 1-30,text,true,,403,365,5,5,https://project-three-application-type.azurewebsites.net/api/Books/1,249,0,0
1663498749853,44184,Get books,200,OK,Stress_test 1-29,text,true,,914833,192,4,4,https://project-three-application-type.azurewebsites.net/api/Books,812,0,0
1663498794024,238,Put Books,200,OK,Stress_test 1-25,text,true,,403,365,4,4,https://project-three-application-type.azurewebsites.net/api/Books/1,238,0,0
1663498794036,229,Post Books,200,OK,Stress_test 1-29,text,true,,403,363,3,3,https://project-three-application-type.azurewebsites.net/api/Books,229,0,0
1663498750387,43956,Get books,200,OK,Stress_test 1-26,text,true,,932861,192,3,3,https://project-three-application-type.azurewebsites.net/api/Books,1378,0,0
1663498794265,218,Delete Books,200,OK,Stress_test 1-29,text,true,,906,194,3,3,https://project-three-application-type.azurewebsites.net/api/Books/5,218,0,0
1663498794483,228,Get Books by ID,200,OK,Stress_test 1-29,text,true,,906,194,3,3,https://project-three-application-type.azurewebsites.net/api/Books/5,227,0,0
1663498793798,915,Post Books,200,OK,Stress_test 1-23,text,true,,403,363,3,3,https://project-three-application-type.azurewebsites.net/api/Books,915,0,695
